abreviatura,expansion
TABL,TABLETAS
TAB,TABLETAS
CAPS,CAPSULAS
CRA,CREMA
PZS,PIEZAS
PZ,PIEZA
SHA,SHAMPOO
ALIM,ALIMENTO
SUPL,SUPLEMENTO
LIQ,LIQUIDO
SPR,SPRAY
AMP,AMPOLLETAS
DEO,DESODORANTE
PVO,POLVO
JBN,JABON
TTE,TINTE
FAC,FACIAL
CORP,CORPORAL
DENT,DENTAL
ESM,ESMALTE
ACO,ACONDICIONADOR
CEP,CEPILLO
MAQ,MAQUILLAJE
TOA,TOALLAS
ANTIT,ANTITRANSPIRANTE
SUSP,SUSPENSION
AD,ADULTO
DESECH,DESECHABLE
SOLN,SOLUCION
ACE,ACEITE
LOC,LOCION
CAB,CABELLO
INF,INFANTIL
LIMP,LIMPIADOR
GDE,GRANDE
VIT,VITAMINA
DELIN,DELINEADOR
DETERG,DETERGENTE
NGO,NEGRO
JGA,JERINGA
GRAG,GRAGEAS
TRAT,TRATAMIENTO
JBE,JARABE
BIB,BIBERON
BLOQ,BLOQUEADOR
PRESERV,PRESERVATIVOS
PROT,PROTECTOR
PEST,PESTANAS
RAST,RASTRILLO
BALM,BALSAMO
LCH,LECHE
CPR,COMPRIMIDOS
BEB,BEBE
COMP,COMPRIMIDOS
