tienda_key,tienda_slug,tienda_nombre,aportador_clave
1,alsuper,Alsuper,B7
2,aurrera,Bodega Aurrerá,D1
3,benavides,Farmacias Benavides,F6
4,chedraui,Chedraui,89
5,comer,La Comer,G1
6,fahorro,Farmacias del Ahorro,S1
7,farmalisto,Farmalisto,I4
8,farmatodo,Farmatodo,O5
9,fesa,Farmacias FESA,
10,gi,Farmacias GI,M4
11,guadalajara,Farmacias Guadalajara,22
12,heb,H-E-B,R8
13,isseg,Farmacia ISSEG,F0
14,klyns,Farmacias Klyns,46
15,sanpablo,Farmacia San Pablo,P5
16,similares,Farmacias Similares,
17,soriana,Soriana,N0
18,walmart,Walmart,D0
19,yza,Farmacias YZA,
20,farmacon,Farmacon,A8
21,farmesp,Farmacias Especializadas,P1
